FechaDocumento,Pico_0_B_M_A_TOP,Pico_B_M_A,EsFechaNomina,EsMayor2M,EsFinSemana,TotalVentaNeta,VentaContado,VentaCredito,UnidadesKit,TotalDsctos,Gramos,VentasNORTE,VentasOCCIDENTE,VentasCENTROORIENTE,Dolar,IPC,EsPicoAumetado,EsFechaEspecial
44563,0.0,0.33,1,0,1,490600,490600,0,7,0,70,60300,0,430300,0.4066,0.166870968,0,0
44564,0.25,0.33,1,0,0,813900,813900,0,10,0,100,48200,0,765700,0.0,0.166741936,0,0
44565,0.5,0.33,1,0,0,1088500,1088500,0,17,0,170,226800,0,861700,0.40768,0.166612903,0,0
44566,0.5,0.33,1,0,0,1048600,1048600,0,10,0,100,37000,0,1011600,0.40221,0.166483871,0,0
44567,0.75,0.66,0,1,0,2562770,2562770,0,65,0,650,136900,1804970,620900,0.403051,0.166354839,3000000,1
44568,0.5,0.33,0,0,0,1019000,1019000,0,22,0,220,17700,281900,719400,0.404706,0.166225807,0,0
44569,0.5,0.33,0,0,1,1085600,1085600,0,27,0,270,280700,299000,505900,0.404706,0.166096774,0,0
44570,0.0,0.33,0,0,1,338000,338000,0,3,0,30,15000,0,323000,0.404706,0.165967742,0,0
44571,0.0,0.33,0,0,0,266500,266500,0,4,0,40,207000,0,59500,0.404706,0.16583871,0,0
44572,0.25,0.33,0,0,0,724100,724100,0,28,0,280,343100,334500,46500,0.398791,0.165709677,0,0
44573,0.5,0.33,0,0,0,1033000,1033000,0,24,0,240,273200,565500,194300,0.397051,0.165580645,0,0
44574,0.25,0.33,0,0,0,612600,612600,0,21,0,210,0,523500,89100,0.396341,0.165451613,0,0
44575,0.5,0.33,0,0,0,1061100,1061100,0,20,0,230,467500,507000,86600,0.400326,0.165322581,0,0
44576,0.25,0.33,1,0,1,838100,838100,0,28,0,280,47300,462000,328800,0.400326,0.165193548,0,0
44577,0.0,0.33,1,0,1,105100,105100,0,2,0,20,14000,0,91100,0.400326,0.165064516,0,0
44578,0.25,0.33,1,0,0,851500,851500,0,27,0,270,28500,455900,367100,0.400326,0.164935484,0,0
44579,0.25,0.33,1,0,0,992500,992500,0,24,0,240,173800,290000,528700,0.40332,0.164806452,0,0
44580,0.5,0.33,1,0,0,1088900,1088900,0,27,0,270,14500,494500,579900,0.399036,0.164677419,0,0
44581,0.25,0.33,1,0,0,777700,777700,0,23,0,230,362200,187600,227900,0.397101,0.164548387,0,0
44582,0.25,0.33,0,0,0,940200,940200,0,18,0,180,0,220500,719700,0.395244,0.164419355,0,0
44583,0.5,0.33,0,0,1,1317780,1317780,0,37,0,370,265080,485100,567600,0.395244,0.164290323,0,0
